6rd - 12
adguardhome-conntrack - 0.107.56-3
alsa - 1
alsa-lib - 1.2.9-1
alsa-ucm-conf - 1.2.9-1
alsa-utils - 1.2.9-1
athdiag - g352296e-1
athtestcmd-lith - g352296e-1
attr - 2.5.1-1
avahi-dbus-daemon - 0.8-8
aw-s2s - git-2025.219.25714-7411e6a-1
base-files - 9
bind-dig - 9.18.24-1
bind-libs - 9.18.24-1
blkid - 2.39-2
breakpad - 0.1-1
breakpad-wrapper - 1.0-1
bridge - 1.7.1-1
busybox - 1.36.1-1
ca-bundle - 20230311-1
ca-certificates - 20230311-1
cgi-io - 2022-08-10-901b0f04-21
chat - 2.4.9.git-2021-01-04-4
cnssdiag - g352296e
comgt - 0.32-35
comgt-ncm - 0.32-35
conntrack - 1.4.8-1
coreutils - 9.3-1
coreutils-timeout - 9.3-1
curl - 8.6.0-1
dashboard - 1
dbus - 1.13.18-12
dhcpdiscover - 1
dnscrypt-proxy2 - 2.1.5-1
dnsmasq-full - 2.90-4
dosfstools - 4.2-4
dropbear - 2024.86-1
ds-lite - 8
e2fsprogs - 1.47.0-2
ethtool - 6.3-1
f2fs-tools - 1.16.0-1
f2fsck - 1.16.0-1
fcgi - 2.4.2-1
file - 5.44-1
firewall4 - 2023-09-01-598d9fbb-1
flock - 2.39-2
fstools - 2023-02-28-bfe882d5-1
ftm - g352296e-1
fwtool - 2019-11-12-8f7fe925-1
getdns - 1.7.3-2
getrandom - 2022-08-13-4c7b720b-2
gl-line-graph - git-2025.221.35332-50630dc-1
gl-oui-rpc - git-2025.224.26286-5eeed66-1
gl-sdk4-acl - git-2025.042.14435-c2946a3-1
gl-sdk4-adguardhome - git-2025.223.14207-4afccf9-1
gl-sdk4-arp-scan - 1.0.1-1
gl-sdk4-base-files - git-2025.225.27646-8feb827-1
gl-sdk4-cable - git-2025.221.26801-2964f50-1
gl-sdk4-carrier-monitor - git-2025.141.43828-171a3f8-1
gl-sdk4-clients - git-2025.211.39545-60c3439-1
gl-sdk4-cloud - git-2025.221.26985-238a59d-1
gl-sdk4-ddns - git-2025.224.11201-84f5a8b-1
gl-sdk4-dns - git-2025.224.10903-907d733-1
gl-sdk4-edgerouter - git-2025.182.10836-6a7b1c2-1
gl-sdk4-firewall - git-2025.219.32390-9bb5750-1
gl-sdk4-fullconenat - git-2025.015.30094-300aed6-1
